# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  171       6.999863778299e-10       2.012410101202e-12       4.434457665641e-13 
  172       7.038111127372e-10       1.977605273319e-12       4.374950892930e-13 
  173       7.075863919895e-10       1.943619064619e-12       4.316388030969e-13 
  174       7.113109749745e-10       1.910423306885e-12       4.258776247809e-13 
  175       7.149835992281e-10       1.877986639704e-12       4.202120207820e-13 
  176       7.186029800966e-10       1.846274453247e-12       4.146422017519e-13 
  177       7.221678104003e-10       1.815248831060e-12       4.091681171394e-13 
  178       7.256767600957e-10       1.784868492855e-12       4.037894497729e-13 
  179       7.291284759385e-10       1.755088737291e-12       3.985056104429e-13 
  180       7.325216704852e-10       1.725870358278e-12       3.933158944445e-13 
  181       7.358553977136e-10       1.697207305950e-12       3.882199764366e-13 
  182       7.391287987142e-10       1.669101119665e-12       3.832174446064e-13 
  183       7.423410143126e-10       1.641552128092e-12       3.783076374576e-13 
  184       7.454911850608e-10       1.614559425047e-12       3.734896389895e-13 
  185       7.485784512293e-10       1.588120845337e-12       3.687622738758e-13 
  186       7.516019527994e-10       1.562232940596e-12       3.641241026438e-13 
  187       7.545608294542e-10       1.536890955126e-12       3.595734168537e-13 
  188       7.574542205712e-10       1.512088801733e-12       3.551082342769e-13 
  189       7.602812652140e-10       1.487819037573e-12       3.507262940757e-13 
  190       7.630411021238e-10       1.464072839982e-12       3.464250519820e-13 
  191       7.657328697117e-10       1.440839982325e-12       3.422016754763e-13 
  192       7.683557060504e-10       1.418108809829e-12       3.380530389670e-13 
  193       7.709087488660e-10       1.395866215422e-12       3.339757189691e-13 
  194       7.733911355301e-10       1.374097615577e-12       3.299659892833e-13 
  195       7.758020030514e-10       1.352786926148e-12       3.260198161751e-13 
  196       7.781404880675e-10       1.331916538209e-12       3.221328535539e-13 
  197       7.804057268373e-10       1.311467293895e-12       3.183004381517e-13 
  198       7.825968552321e-10       1.291418462240e-12       3.145175847025e-13 
  199       7.847130087283e-10       1.271747715016e-12       3.107789811212e-13 
  200       7.867533223985e-10       1.252431102574e-12       3.070789836824e-13 
  201       7.887169910171e-10       1.233447725307e-12       3.034127819989e-13 
  202       7.906034541773e-10       1.214794170135e-12       2.997799967175e-13 
  203       7.924122243968e-10       1.196471059843e-12       2.961813298121e-13 
  204       7.941428283614e-10       1.178478439921e-12       2.926174165284e-13 
  205       7.957948070946e-10       1.160815768286e-12       2.890888240194e-13 
  206       7.973677161273e-10       1.143481904993e-12       2.855960499825e-13 
  207       7.988611256668e-10       1.126475101961e-12       2.821395212955e-13 
  208       8.002746207669e-10       1.109792992683e-12       2.787195926531e-13 
  209       8.016078014973e-10       1.093432581944e-12       2.753365452031e-13 
  210       8.028602831129e-10       1.077390235544e-12       2.719905851832e-13 
  211       8.040316962235e-10       1.061661670008e-12       2.686818425571e-13 
  212       8.051216869634e-10       1.046241942309e-12       2.654103696507e-13 
  213       8.061299171606e-10       1.031125439582e-12       2.621761397888e-13 
  214       8.070560645068e-10       1.016305868843e-12       2.589790459316e-13 
  215       8.078998227268e-10       1.001776246703e-12       2.558188993107e-13 
  216       8.086609017477e-10       9.875288890920e-13       2.526954280655e-13 
  217       8.093390278687e-10       9.735554009688e-13       2.496082758802e-13 
  218       8.099339439308e-10       9.598466660435e-13       2.465570006192e-13 
  219       8.104454094859e-10       9.463928364922e-13       2.435410729645e-13 
  220       8.108732009667e-10       9.331833226756e-13       2.405598750513e-13 
  221       8.112171118561e-10       9.202067828553e-13       2.376126991048e-13 
  222       8.114769528568e-10       9.074511129120e-13       2.346987460764e-13 
  223       8.116525520605e-10       8.949034360622e-13       2.318171242803e-13 
  224       8.117437813470e-10       8.825525836494e-13       2.289670995927e-13 
  225       8.117506371133e-10       8.703967360163e-13       2.261488667461e-13 
  226       8.116731650636e-10       8.584362530539e-13       2.233628249916e-13 
  227       8.115114346773e-10       8.466712229640e-13       2.206093302332e-13 
  228       8.112655394413e-10       8.351014579067e-13       2.178886942636e-13 
  229       8.109355970815e-10       8.237264896493e-13       2.152011839991e-13 
  230       8.105217497952e-10       8.125455652147e-13       2.125470207155e-13 
  231       8.100241644829e-10       8.015576425299e-13       2.099263792826e-13 
  232       8.094430329804e-10       7.907613860742e-13       2.073393874004e-13 
  233       8.087785722906e-10       7.801551625277e-13       2.047861248340e-13 
  234       8.080310248156e-10       7.697370364199e-13       2.022666226490e-13 
  235       8.072006585888e-10       7.595047657779e-13       1.997808624468e-13 
  236       8.062877675065e-10       7.494557977751e-13       1.973287756001e-13 
  237       8.052926715603e-10       7.395872643792e-13       1.949102424882e-13 
  238       8.042157170690e-10       7.298959780011e-13       1.925250917323e-13 
  239       8.030572769102e-10       7.203784271429e-13       1.901730994307e-13 
  240       8.018177507529e-10       7.110307720469e-13       1.878539883946e-13 
  241       8.004975652889e-10       7.018488403433e-13       1.855674273828e-13 
