# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  136       4.910729427598e-10       5.031317694272e-12       5.866004537383e-13 
  137       4.954936641762e-10       4.929369654239e-12       5.786296390366e-13 
  138       4.999161933193e-10       4.830227353111e-12       5.708255389678e-13 
  139       5.043394322694e-10       4.733781487452e-12       5.631790568987e-13 
  140       5.087622131339e-10       4.639905783752e-12       5.556797716307e-13 
  141       5.131832964531e-10       4.548456612690e-12       5.483159071741e-13 
  142       5.176013696052e-10       4.459272603407e-12       5.410743025227e-13 
  143       5.220150452124e-10       4.372174257770e-12       5.339403814286e-13 
  144       5.264229865494e-10       4.287001674849e-12       5.269015397716e-13 
  145       5.308243010699e-10       4.203732730280e-12       5.199577478520e-13 
  146       5.352181828264e-10       4.122375868783e-12       5.131119407510e-13 
  147       5.396037880937e-10       4.042932874915e-12       5.063666841022e-13 
  148       5.439802345045e-10       3.965398706358e-12       4.997241635082e-13 
  149       5.483466001848e-10       3.889761327213e-12       4.931861739562e-13 
  150       5.527019228898e-10       3.816001541292e-12       4.867541092339e-13 
  151       5.570451991384e-10       3.744092825410e-12       4.804289513453e-13 
  152       5.613753833500e-10       3.674001162675e-12       4.742112599272e-13 
  153       5.656913869788e-10       3.605684875784e-12       4.681011616645e-13 
  154       5.699920776500e-10       3.539094460308e-12       4.620983397066e-13 
  155       5.742762782952e-10       3.474172417992e-12       4.562020230828e-13 
  156       5.785427662875e-10       3.410853090042e-12       4.504109761189e-13 
  157       5.827902725774e-10       3.349062490418e-12       4.447234878528e-13 
  158       5.870174808281e-10       3.288718139126e-12       4.391373614503e-13 
  159       5.912230265511e-10       3.229728895510e-12       4.336499036213e-13 
  160       5.954054962416e-10       3.171994791543e-12       4.282579140355e-13 
  161       5.995635300626e-10       3.115427563936e-12       4.229584422471e-13 
  162       6.036961419176e-10       3.060014640896e-12       4.177511559107e-13 
  163       6.078024261624e-10       3.005760521622e-12       4.126361627402e-13 
  164       6.118814562171e-10       2.952666515513e-12       4.076132548390e-13 
  165       6.159322841781e-10       2.900730670691e-12       4.026819016478e-13 
  166       6.199539404298e-10       2.849947702525e-12       3.978412428912e-13 
  167       6.239454332567e-10       2.800308922155e-12       3.930900815251e-13 
  168       6.279057484551e-10       2.751802165021e-12       3.884268766838e-13 
  169       6.318338489454e-10       2.704411719381e-12       3.838497366271e-13 
  170       6.357286743834e-10       2.658118254839e-12       3.793564116874e-13 
  171       6.395891407726e-10       2.612898750872e-12       3.749442872172e-13 
  172       6.434141400762e-10       2.568726425349e-12       3.706103765356e-13 
  173       6.472025398287e-10       2.525570663061e-12       3.663513138762e-13 
  174       6.509531827479e-10       2.483396944240e-12       3.621633473335e-13 
  175       6.546648863467e-10       2.442166773090e-12       3.580423318108e-13 
  176       6.583364425455e-10       2.401837606307e-12       3.539837219666e-13 
  177       6.619666172833e-10       2.362362781603e-12       3.499825651623e-13 
  178       6.655541501303e-10       2.323691446234e-12       3.460334944091e-13 
  179       6.690977538994e-10       2.285768485524e-12       3.421307213152e-13 
  180       6.725961984341e-10       2.248545589039e-12       3.382692043433e-13 
  181       6.760485702292e-10       2.212015582083e-12       3.344482721594e-13 
  182       6.794540327497e-10       2.176180692250e-12       3.306682754247e-13 
  183       6.828117440320e-10       2.141041626773e-12       3.269294346621e-13 
  184       6.861208566057e-10       2.106597542069e-12       3.232318375331e-13 
  185       6.893805174155e-10       2.072846013285e-12       3.195754361131e-13 
  186       6.925898677434e-10       2.039783003850e-12       3.159600441685e-13 
  187       6.957480431305e-10       2.007402835018e-12       3.123853344319e-13 
  188       6.988541732987e-10       1.975698155417e-12       3.088508358786e-13 
  189       7.019073820733e-10       1.944659910595e-12       3.053559310026e-13 
  190       7.049067873040e-10       1.914277312569e-12       3.018998530928e-13 
  191       7.078515007878e-10       1.884537809372e-12       2.984816835091e-13 
  192       7.107406281903e-10       1.855427054598e-12       2.951003489582e-13 
  193       7.135732689677e-10       1.826928876951e-12       2.917546187703e-13 
  194       7.163485162891e-10       1.799025249792e-12       2.884431021744e-13 
  195       7.190654569580e-10       1.771696260689e-12       2.851642455751e-13 
  196       7.217231713348e-10       1.744920080957e-12       2.819163298284e-13 
  197       7.243207332580e-10       1.718672935212e-12       2.786974675177e-13 
  198       7.268572099667e-10       1.692929070916e-12       2.755056002302e-13 
  199       7.293316620224e-10       1.667660727924e-12       2.723384958326e-13 
  200       7.317431432309e-10       1.642838108031e-12       2.691937457475e-13 
  201       7.340907631367e-10       1.618435223961e-12       2.660694379263e-13 
  202       7.363738796432e-10       1.594447975254e-12       2.629662350028e-13 
  203       7.385919200171e-10       1.570877306333e-12       2.598854395039e-13 
  204       7.407443196588e-10       1.547723430125e-12       2.568283307732e-13 
  205       7.428305222092e-10       1.524985814983e-12       2.537961642439e-13 
  206       7.448499796567e-10       1.502663171611e-12       2.507901707120e-13 
  207       7.468021524437e-10       1.480753439987e-12       2.478115556092e-13 
  208       7.486865095741e-10       1.459253776287e-12       2.448614982765e-13 
  209       7.505025287196e-10       1.438160539812e-12       2.419411512368e-13 
  210       7.522496963268e-10       1.417469279908e-12       2.390516394686e-13 
  211       7.539275077244e-10       1.397174722890e-12       2.361940596785e-13 
  212       7.555354672292e-10       1.377270758971e-12       2.333694795748e-13 
  213       7.570730882541e-10       1.357750429182e-12       2.305789371406e-13 
  214       7.585398934140e-10       1.338605912295e-12       2.278234399066e-13 
  215       7.599354146331e-10       1.319828511750e-12       2.251039642247e-13 
  216       7.612591932521e-10       1.301408642579e-12       2.224214545408e-13 
  217       7.625107801343e-10       1.283335818326e-12       2.197768226678e-13 
  218       7.636897357731e-10       1.265598637978e-12       2.171709470593e-13 
  219       7.647956303987e-10       1.248184772881e-12       2.146046720822e-13 
  220       7.658280440848e-10       1.231080953669e-12       2.120788072900e-13 
  221       7.667865668557e-10       1.214272957190e-12       2.095941266961e-13 
  222       7.676707987932e-10       1.197745593423e-12       2.071513680466e-13 
  223       7.684803501432e-10       1.181482692408e-12       2.047512320939e-13 
  224       7.692148758901e-10       1.165470237832e-12       2.023942130932e-13 
  225       7.698741817274e-10       1.149706018703e-12       2.000800796929e-13 
  226       7.704581251079e-10       1.134190572990e-12       1.978083592577e-13 
  227       7.709665815772e-10       1.118924091191e-12       1.955785025217e-13 
  228       7.713994449621e-10       1.103906410749e-12       1.933898824603e-13 
  229       7.717566275599e-10       1.089137010468e-12       1.912417931609e-13 
  230       7.720380603271e-10       1.074615004931e-12       1.891334486945e-13 
  231       7.722436930685e-10       1.060339138912e-12       1.870639819870e-13 
  232       7.723734946262e-10       1.046307781796e-12       1.850324436903e-13 
  233       7.724274530683e-10       1.032518921994e-12       1.830378010538e-13 
  234       7.724055758781e-10       1.018970161357e-12       1.810789367955e-13 
  235       7.723078901428e-10       1.005658709596e-12       1.791546479734e-13 
  236       7.721344427426e-10       9.925813786945e-13       1.772636448569e-13 
  237       7.718853005396e-10       9.797345773256e-13       1.754045497976e-13 
  238       7.715605505666e-10       9.671143052693e-13       1.735758961012e-13 
  239       7.711603002165e-10       9.547161478274e-13       1.717761268985e-13 
  240       7.706846774306e-10       9.425352702400e-13       1.700035940164e-13 
  241       7.701338308879e-10       9.305664121015e-13       1.682565568499e-13 
  242       7.695079301941e-10       9.188038817766e-13       1.665331812326e-13 
  243       7.688071660704e-10       9.072415508167e-13       1.648315383087e-13 
  244       7.680317505422e-10       8.958728483756e-13       1.631496034035e-13 
  245       7.671819171288e-10       8.846907556257e-13       1.614852548955e-13 
  246       7.662579210315e-10       8.736878001742e-13       1.598362730871e-13 
  247       7.652600393228e-10       8.628560504792e-13       1.582003390761e-13 
  248       7.641885711358e-10       8.521871102658e-13       1.565750336272e-13 
  249       7.630438378523e-10       8.416721129417e-13       1.549578360427e-13 
  250       7.618261814846e-10       8.313034145931e-13       1.533466322479e-13 
  251       7.605359593237e-10       8.210797928457e-13       1.517412738921e-13 
  252       7.591735493487e-10       8.110015372470e-13       1.501421070498e-13 
  253       7.577393521919e-10       8.010687753668e-13       1.485494709509e-13 
  254       7.562337913237e-10       7.912814704611e-13       1.469636978256e-13 
  255       7.546573132386e-10       7.816394191368e-13       1.453851127499e-13 
  256       7.530103876404e-10       7.721422490162e-13       1.438140334903e-13 
  257       7.512935076277e-10       7.627894164008e-13       1.422507703490e-13 
  258       7.495071898796e-10       7.535802039362e-13       1.406956260092e-13 
  259       7.476519748408e-10       7.445137182764e-13       1.391488953798e-13 
  260       7.457284269074e-10       7.355888877477e-13       1.376108654406e-13 
  261       7.437371346123e-10       7.268044600139e-13       1.360818150877e-13 
  262       7.416787108106e-10       7.181589997397e-13       1.345620149780e-13 
  263       7.395537928652e-10       7.096508862558e-13       1.330517273750e-13 
  264       7.373630428323e-10       7.012783112231e-13       1.315512059931e-13 
  265       7.351071476465e-10       6.930392762966e-13       1.300606958432e-13 
  266       7.327868193069e-10       6.849315907906e-13       1.285804330777e-13 
  267       7.304027950621e-10       6.769528693423e-13       1.271106448356e-13 
  268       7.279558375959e-10       6.691005295764e-13       1.256515490872e-13 
  269       7.254467352127e-10       6.613717897700e-13       1.242033544797e-13 
  270       7.228763020232e-10       6.537636665159e-13       1.227662601821e-13 
  271       7.202453781293e-10       6.462729723881e-13       1.213404557302e-13 
  272       7.175548298104e-10       6.388963136052e-13       1.199261208715e-13 
  273       7.148055497081e-10       6.316300876954e-13       1.185234254109e-13 
