# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
   57       2.175758085620e-10       3.689167665830e-11       4.249153489549e-12 
   58       2.206542305667e-10       3.545338463942e-11       4.103521449247e-12 
   59       2.237615140439e-10       3.409209618244e-11       3.965676759739e-12 
   60       2.268955780138e-10       3.279862843393e-11       3.834834497504e-12 
   61       2.300541542592e-10       3.156343568213e-11       3.710150557753e-12 
   62       2.332385363062e-10       3.038524333995e-11       3.591476972028e-12 
   63       2.364505245553e-10       2.926407841493e-11       3.478749112926e-12 
   64       2.396912782565e-10       2.819867301094e-11       3.371756325364e-12 
   65       2.429612675847e-10       2.718639073272e-11       3.270133765460e-12 
   66       2.462602257162e-10       2.622315309047e-11       3.173354239413e-12 
   67       2.495871009045e-10       2.530336590441e-11       3.080720042383e-12 
   68       2.529407627476e-10       2.442140555390e-11       2.991543969318e-12 
   69       2.563223942936e-10       2.357659193807e-11       2.905753180713e-12 
   70       2.597335007730e-10       2.276909558770e-11       2.823393597155e-12 
   71       2.631751701723e-10       2.199843387984e-11       2.744448290276e-12 
   72       2.666480445989e-10       2.126343733606e-11       2.668834159788e-12 
   73       2.701522916455e-10       2.056221592076e-11       2.596398610520e-12 
   74       2.736875757556e-10       1.989212533947e-11       2.526916229458e-12 
   75       2.772530295876e-10       1.924973333710e-11       2.460085462782e-12 
   76       2.808477568118e-10       1.863166742052e-11       2.395606488783e-12 
   77       2.844725096486e-10       1.803741099263e-11       2.333438576416e-12 
   78       2.881282666347e-10       1.746695824656e-11       2.273583838207e-12 
   79       2.918157108781e-10       1.691996260106e-11       2.216008566622e-12 
   80       2.955352123212e-10       1.639572107307e-11       2.160641576085e-12 
   81       2.992868100029e-10       1.589315865037e-11       2.107372545010e-12 
   82       3.030701943205e-10       1.541081266415e-11       2.056050357824e-12 
   83       3.068846892922e-10       1.494681716163e-11       2.006481446989e-12 
   84       3.107295849163e-10       1.449935385502e-11       1.958478388413e-12 
   85       3.146052364090e-10       1.406812509481e-11       1.912018575679e-12 
   86       3.185121155225e-10       1.365309756755e-11       1.867108933132e-12 
   87       3.224504649721e-10       1.325404975955e-11       1.823737199903e-12 
   88       3.264202865821e-10       1.287056417112e-11       1.781871116533e-12 
   89       3.304213294323e-10       1.250201953082e-11       1.741457611589e-12 
   90       3.344530780037e-10       1.214758300963e-11       1.702421988286e-12 
   91       3.385147403255e-10       1.180620243522e-11       1.664667111108e-12 
   92       3.426052361206e-10       1.147659850615e-11       1.628072592424e-12 
   93       3.467235388797e-10       1.115756679278e-11       1.592524984867e-12 
   94       3.508697866796e-10       1.084895260803e-11       1.558015319551e-12 
   95       3.550443172928e-10       1.055080904436e-11       1.524554802006e-12 
   96       3.592473222445e-10       1.026309676524e-11       1.492144730956e-12 
   97       3.634788398173e-10       9.985680471824e-12       1.460776110550e-12 
   98       3.677387480556e-10       9.718325369507e-12       1.430429262590e-12 
   99       3.720267577703e-10       9.460693634573e-12       1.401073438766e-12 
  100       3.763424055429e-10       9.212340880799e-12       1.372666432883e-12 
  101       3.806850467309e-10       8.972712626078e-12       1.345154193094e-12 
  102       3.850538484713e-10       8.741140759031e-12       1.318470434130e-12 
  103       3.894477826860e-10       8.516840005620e-12       1.292536249530e-12 
  104       3.938658496052e-10       8.299085120597e-12       1.267278604526e-12 
  105       3.983077977941e-10       8.087777332410e-12       1.242689494951e-12 
  106       4.027734888030e-10       7.882948185722e-12       1.218774094124e-12 
  107       4.072626709246e-10       7.684584120844e-12       1.195532407718e-12 
  108       4.117749747323e-10       7.492624926338e-12       1.172959093464e-12 
  109       4.163099086173e-10       7.306962191619e-12       1.151043280870e-12 
  110       4.208668543268e-10       7.127437759560e-12       1.129768390923e-12 
  111       4.254450625018e-10       6.953842179092e-12       1.109111955805e-12 
  112       4.300436482143e-10       6.785913157810e-12       1.089045438601e-12 
  113       4.346615865053e-10       6.623334014575e-12       1.069534053010e-12 
  114       4.392977079228e-10       6.465732132115e-12       1.050536583058e-12 
  115       4.439506940591e-10       6.312677409632e-12       1.032005202803e-12 
  116       4.486192740541e-10       6.163776107672e-12       1.013896081570e-12 
  117       4.533028507490e-10       6.018968635110e-12       9.962030478665e-13 
  118       4.580009426359e-10       5.878265230194e-12       9.789276988601e-13 
  119       4.627129870480e-10       5.741653111525e-12       9.620688970743e-13 
  120       4.674383374744e-10       5.609095774097e-12       9.456226854643e-13 
  121       4.721762608742e-10       5.480532285330e-12       9.295822024897e-13 
  122       4.769259349917e-10       5.355876581104e-12       9.139375971875e-13 
  123       4.816864456707e-10       5.235016761801e-12       8.986759442453e-13 
  124       4.864567841688e-10       5.117814388334e-12       8.837811590746e-13 
  125       4.912358444729e-10       5.004103778190e-12       8.692339128840e-13 
  126       4.960224206127e-10       4.893691301460e-12       8.550115477521e-13 
  127       5.008152039762e-10       4.786354676877e-12       8.410879917009e-13 
  128       5.056127806239e-10       4.681842267854e-12       8.274336737690e-13 
  129       5.104137767351e-10       4.579926912520e-12       8.140226429862e-13 
  130       5.152173186915e-10       4.480575585670e-12       8.008549886594e-13 
  131       5.200226186252e-10       4.383797105235e-12       7.879367305745e-13 
  132       5.248288292025e-10       4.289588956003e-12       7.752728025162e-13 
  133       5.296350419977e-10       4.197936975887e-12       7.628670188894e-13 
  134       5.344402858682e-10       4.108815042179e-12       7.507220413411e-13 
  135       5.392435253289e-10       4.022184757816e-12       7.388393453818e-13 
  136       5.440436589267e-10       3.937995137642e-12       7.272191870075e-13 
  137       5.488395176153e-10       3.856182294665e-12       7.158605693209e-13 
  138       5.536298631296e-10       3.776669126323e-12       7.047612091535e-13 
  139       5.584133863603e-10       3.699365000742e-12       6.939175036870e-13 
  140       5.631887057285e-10       3.624165443001e-12       6.833244970750e-13 
  141       5.679543655605e-10       3.550951821389e-12       6.729758470650e-13 
  142       5.727088344619e-10       3.479591033670e-12       6.628637916193e-13 
  143       5.774505036927e-10       3.409935193343e-12       6.529791155376e-13 
  144       5.821778224672e-10       3.341852497231e-12       6.433130332385e-13 
  145       5.868897223197e-10       3.275323920315e-12       6.338631167706e-13 
  146       5.915852316806e-10       3.210355501693e-12       6.246278914943e-13 
  147       5.962633418764e-10       3.146947885903e-12       6.156049502312e-13 
  148       6.009230062911e-10       3.085096188388e-12       6.067909308980e-13 
  149       6.055631395280e-10       3.024789860961e-12       5.981814941409e-13 
  150       6.101826165709e-10       2.966012557269e-12       5.897713009695e-13 
  151       6.147802719457e-10       2.908741998258e-12       5.815539903910e-13 
  152       6.193548988819e-10       2.852949837635e-12       5.735221570441e-13 
  153       6.239052484744e-10       2.798601527338e-12       5.656673288333e-13 
  154       6.284300288445e-10       2.745656182992e-12       5.579799445626e-13 
  155       6.329279043018e-10       2.694066449383e-12       5.504493315702e-13 
  156       6.373974945055e-10       2.643778365915e-12       5.430636833620e-13 
  157       6.418373736261e-10       2.594731232076e-12       5.358100372458e-13 
  158       6.462460695068e-10       2.546857472907e-12       5.286742519658e-13 
  159       6.506220628248e-10       2.500082504460e-12       5.216409853362e-13 
  160       6.549637862535e-10       2.454324599267e-12       5.146936718752e-13 
  161       6.592697320993e-10       2.409511558009e-12       5.078181841752e-13 
  162       6.635387876736e-10       2.365632663789e-12       5.010142278274e-13 
  163       6.677699281144e-10       2.322691086584e-12       4.942849161272e-13 
  164       6.719621102411e-10       2.280687433505e-12       4.876331715946e-13 
  165       6.761142722149e-10       2.239619691588e-12       4.810617205569e-13 
  166       6.802253331994e-10       2.199483170579e-12       4.745730877313e-13 
  167       6.842941930216e-10       2.160270445719e-12       4.681695908073e-13 
  168       6.883197318318e-10       2.121971300540e-12       4.618533350290e-13 
  169       6.923008097647e-10       2.084572669643e-12       4.556262077779e-13 
  170       6.962362665998e-10       2.048058581493e-12       4.494898731551e-13 
  171       7.001249214222e-10       2.012410101202e-12       4.434457665641e-13 
  172       7.039655722829e-10       1.977605273319e-12       4.374950892930e-13 
  173       7.077569958597e-10       1.943619064619e-12       4.316388030969e-13 
  174       7.114979471173e-10       1.910423306885e-12       4.258776247809e-13 
  175       7.151871589688e-10       1.877986639704e-12       4.202120207820e-13 
  176       7.188233419352e-10       1.846274453247e-12       4.146422017519e-13 
  177       7.224051838069e-10       1.815248831060e-12       4.091681171394e-13 
  178       7.259313493037e-10       1.784868492855e-12       4.037894497729e-13 
  179       7.294004797358e-10       1.755088737291e-12       3.985056104429e-13 
  180       7.328112820133e-10       1.725870358278e-12       3.933158944445e-13 
  181       7.361628042966e-10       1.697207305950e-12       3.882199764366e-13 
  182       7.394541816561e-10       1.669101119665e-12       3.832174446064e-13 
  183       7.426845486822e-10       1.641552128092e-12       3.783076374576e-13 
  184       7.458530394747e-10       1.614559425047e-12       3.734896389895e-13 
  185       7.489587876326e-10       1.588120845337e-12       3.687622738758e-13 
  186       7.520009262437e-10       1.562232940596e-12       3.641241026438e-13 
  187       7.549785878744e-10       1.536890955126e-12       3.595734168537e-13 
  188       7.578909045594e-10       1.512088801733e-12       3.551082342769e-13 
  189       7.607370077913e-10       1.487819037573e-12       3.507262940757e-13 
  190       7.635160285104e-10       1.464072839982e-12       3.464250519820e-13 
  191       7.662270970943e-10       1.440839982325e-12       3.422016754763e-13 
  192       7.688693433475e-10       1.418108809829e-12       3.380530389670e-13 
  193       7.714418964914e-10       1.395866215422e-12       3.339757189691e-13 
  194       7.739438851536e-10       1.374097615577e-12       3.299659892833e-13 
  195       7.763744373581e-10       1.352786926148e-12       3.260198161751e-13 
  196       7.787326805144e-10       1.331916538209e-12       3.221328535539e-13 
  197       7.810177414076e-10       1.311467293895e-12       3.183004381517e-13 
  198       7.832287461880e-10       1.291418462240e-12       3.145175847025e-13 
  199       7.853648203606e-10       1.271747715016e-12       3.107789811212e-13 
  200       7.874250887752e-10       1.252431102574e-12       3.070789836824e-13 
  201       7.894087360468e-10       1.233447725307e-12       3.034127819989e-13 
  202       7.913151926498e-10       1.214794170135e-12       2.997799967175e-13 
  203       7.931439621123e-10       1.196471059843e-12       2.961813298121e-13 
  204       7.948945619473e-10       1.178478439921e-12       2.926174165284e-13 
  205       7.965665238205e-10       1.160815768286e-12       2.890888240194e-13 
  206       7.981593937191e-10       1.143481904993e-12       2.855960499825e-13 
  207       7.996727321200e-10       1.126475101961e-12       2.821395212955e-13 
  208       8.011061141578e-10       1.109792992683e-12       2.787195926531e-13 
  209       8.024591297933e-10       1.093432581944e-12       2.753365452031e-13 
  210       8.037313839819e-10       1.077390235544e-12       2.719905851832e-13 
  211       8.049224968416e-10       1.061661670008e-12       2.686818425571e-13 
  212       8.060321038217e-10       1.046241942309e-12       2.654103696507e-13 
  213       8.070598558706e-10       1.031125439582e-12       2.621761397888e-13 
  214       8.080054196047e-10       1.016305868843e-12       2.589790459316e-13 
  215       8.088684774761e-10       1.001776246703e-12       2.558188993107e-13 
  216       8.096487279413e-10       9.875288890920e-13       2.526954280655e-13 
  217       8.103458856293e-10       9.735554009688e-13       2.496082758802e-13 
  218       8.109596815101e-10       9.598466660435e-13       2.465570006192e-13 
  219       8.114898630626e-10       9.463928364922e-13       2.435410729645e-13 
  220       8.119361944434e-10       9.331833226756e-13       2.405598750513e-13 
  221       8.122984566547e-10       9.202067828553e-13       2.376126991048e-13 
  222       8.125764477129e-10       9.074511129120e-13       2.346987460764e-13 
  223       8.127699828166e-10       8.949034360622e-13       2.318171242803e-13 
  224       8.128789214138e-10       8.825525836494e-13       2.289670995927e-13 
  225       8.129032499875e-10       8.703967360163e-13       2.261488667461e-13 
  226       8.128430049191e-10       8.584362530539e-13       2.233628249916e-13 
  227       8.126982462992e-10       8.466712229640e-13       2.206093302332e-13 
  228       8.124690581600e-10       8.351014579067e-13       2.178886942636e-13 
  229       8.121555487076e-10       8.237264896493e-13       2.152011839991e-13 
  230       8.117578505541e-10       8.125455652147e-13       2.125470207155e-13 
  231       8.112761209505e-10       8.015576425299e-13       2.099263792826e-13 
  232       8.107105420185e-10       7.907613860742e-13       2.073393874004e-13 
  233       8.100613209831e-10       7.801551625277e-13       2.047861248340e-13 
  234       8.093286904049e-10       7.697370364199e-13       2.022666226490e-13 
  235       8.085129084125e-10       7.595047657779e-13       1.997808624468e-13 
  236       8.076142589347e-10       7.494557977751e-13       1.973287756001e-13 
  237       8.066330519329e-10       7.395872643792e-13       1.949102424882e-13 
  238       8.055696236335e-10       7.298959780011e-13       1.925250917323e-13 
  239       8.044243367602e-10       7.203784271429e-13       1.901730994307e-13 
  240       8.031975807664e-10       7.110307720469e-13       1.878539883946e-13 
  241       8.018897720675e-10       7.018488403433e-13       1.855674273828e-13 
  242       8.005013542731e-10       6.928281226993e-13       1.833130303377e-13 
  243       7.990327984195e-10       6.839637684669e-13       1.810903556201e-13 
  244       7.974846032021e-10       6.752505813320e-13       1.788989052449e-13 
  245       7.958572952077e-10       6.666830149623e-13       1.767381241164e-13 
  246       7.941514291466e-10       6.582551686558e-13       1.746073992633e-13 
  247       7.923675880852e-10       6.499607829897e-13       1.725060590747e-13 
  248       7.905063836785e-10       6.417932354681e-13       1.704333725347e-13 
  249       7.885684564020e-10       6.337455361710e-13       1.683885484583e-13 
  250       7.865544581550e-10       6.258116555911e-13       1.663708732241e-13 
  251       7.844649984777e-10       6.179906021078e-13       1.643801343659e-13 
  252       7.823006956806e-10       6.102825714219e-13       1.624162199467e-13 
  253       7.800621943925e-10       6.026876337504e-13       1.604789817638e-13 
  254       7.777501657589e-10       5.952057320225e-13       1.585682348490e-13 
  255       7.753653076406e-10       5.878366800759e-13       1.566837569691e-13 
  256       7.729083448124e-10       5.805801608526e-13       1.548252881259e-13 
  257       7.703800291618e-10       5.734357245950e-13       1.529925300564e-13 
  258       7.677811398873e-10       5.664027870420e-13       1.511851457329e-13 
  259       7.651124836976e-10       5.594806276252e-13       1.494027588634e-13 
  260       7.623748950095e-10       5.526683876645e-13       1.476449533917e-13 
  261       7.595692361473e-10       5.459650685645e-13       1.459112729978e-13 
  262       7.566963975408e-10       5.393695300103e-13       1.442012205976e-13 
  263       7.537572979242e-10       5.328804881640e-13       1.425142578437e-13 
  264       7.507528845349e-10       5.264965138600e-13       1.408498046252e-13 
  265       7.476841333118e-10       5.202160308016e-13       1.392072385680e-13 
  266       7.445520490940e-10       5.140373137571e-13       1.375858945351e-13 
  267       7.413576658195e-10       5.079584867554e-13       1.359850641267e-13 
  268       7.381020467240e-10       5.019775212823e-13       1.344039951804e-13 
  269       7.347862845392e-10       4.960922344766e-13       1.328418912715e-13 
  270       7.314115016917e-10       4.903002873258e-13       1.312979112130e-13 
  271       7.279788505012e-10       4.845991828628e-13       1.297711685562e-13 
  272       7.244895133799e-10       4.789862643612e-13       1.282607310902e-13 
  273       7.209447030304e-10       4.734587135318e-13       1.267656203431e-13 
  274       7.173456626445e-10       4.680135487184e-13       1.252848110810e-13 
  275       7.136936661021e-10       4.626476230941e-13       1.238172308094e-13 
  276       7.099900181697e-10       4.573576228571e-13       1.223617592725e-13 
  277       7.062360546987e-10       4.521400654268e-13       1.209172279539e-13 
  278       7.024331428247e-10       4.469912976400e-13       1.194824195764e-13 
  279       6.985826136753e-10       4.419081845595e-13       1.180563234498e-13 
  280       6.946855562287e-10       4.368902191133e-13       1.166389171830e-13 
  281       6.907430131626e-10       4.319375182391e-13       1.152304244978e-13 
  282       6.867560474765e-10       4.270501413761e-13       1.138310629227e-13 
  283       6.827257425870e-10       4.222280897222e-13       1.124410436868e-13 
  284       6.786532024225e-10       4.174713054908e-13       1.110605716127e-13 
  285       6.745395515183e-10       4.127796711676e-13       1.096898450097e-13 
  286       6.703859351115e-10       4.081530087676e-13       1.083290555670e-13 
  287       6.661935192361e-10       4.035910790920e-13       1.069783882471e-13 
  288       6.619634908176e-10       3.990935809850e-13       1.056380211787e-13 
  289       6.576970577683e-10       3.946601505908e-13       1.043081255502e-13 
  290       6.533954490824e-10       3.902903606103e-13       1.029888655027e-13 
  291       6.490599149302e-10       3.859837195582e-13       1.016803980234e-13 
  292       6.446917267541e-10       3.817396710198e-13       1.003828728386e-13 
  293       6.402921773625e-10       3.775575929079e-13       9.909643230701e-14 
  294       6.358625810258e-10       3.734367967197e-13       9.782121131293e-14 
  295       6.314042735704e-10       3.693765267935e-13       9.655733715953e-14 
  296       6.269186124744e-10       3.653759595661e-13       9.530492946197e-14 
  297       6.224069769620e-10       3.614342028290e-13       9.406410004066e-14 
  298       6.178707680989e-10       3.575502949857e-13       9.283495281443e-14 
  299       6.133114088870e-10       3.537232043088e-13       9.161758369377e-14 
  300       6.087303443594e-10       3.499518281963e-13       9.041208047400e-14 
  301       6.041290416754e-10       3.462349924289e-13       8.921852272851e-14 
  302       5.995089902154e-10       3.425714504269e-13       8.803698170197e-14 
  303       5.948717016760e-10       3.389598825068e-13       8.686752020349e-14 
  304       5.902187101647e-10       3.353988951385e-13       8.571019249989e-14 
  305       5.855515722952e-10       3.318870202019e-13       8.456504420887e-14 
  306       5.808718672819e-10       3.284227142442e-13       8.343211219220e-14 
  307       5.761811970354e-10       3.250043577364e-13       8.231142444899e-14 
  308       5.714811862569e-10       3.216302543303e-13       8.120300000883e-14 
  309       5.667734825338e-10       3.182986301154e-13       8.010684882504e-14 
  310       5.620597564340e-10       3.150076328759e-13       7.902297166784e-14 
  311       5.573417016012e-10       3.117553313474e-13       7.795136001762e-14 
  312       5.526209263410e-10       3.085400766296e-13       7.689200395176e-14 
  313       5.478986226249e-10       3.053616064827e-13       7.584491642894e-14 
  314       5.431758819136e-10       3.022199908183e-13       7.481010992302e-14 
  315       5.384538022431e-10       2.991152738662e-13       7.378758843436e-14 
  316       5.337334881860e-10       2.960474738766e-13       7.277734739286e-14 
  317       5.290160508137e-10       2.930165828219e-13       7.177937356100e-14 
  318       5.243026076576e-10       2.900225660982e-13       7.079364493686e-14 
  319       5.195942826709e-10       2.870653622281e-13       6.982013065713e-14 
  320       5.148922061900e-10       2.841448825616e-13       6.885879090017e-14 
  321       5.101975148964e-10       2.812610109788e-13       6.790957678904e-14 
  322       5.055113517780e-10       2.784136035914e-13       6.697243029449e-14 
  323       5.008348660913e-10       2.756024884447e-13       6.604728413805e-14 
  324       4.961692133223e-10       2.728274652195e-13       6.513406169500e-14 
  325       4.915155551485e-10       2.700883049339e-13       6.423267689744e-14 
  326       4.868750594007e-10       2.673847496455e-13       6.334303413731e-14 
  327       4.822489000241e-10       2.647165121530e-13       6.246502816941e-14 
  328       4.776382570403e-10       2.620832756983e-13       6.159854401445e-14 
  329       4.730443165091e-10       2.594846936684e-13       6.074345686204e-14 
  330       4.684682704896e-10       2.569203892971e-13       5.989963197378e-14 
  331       4.639113170021e-10       2.543899553672e-13       5.906692458622e-14 
  332       4.593746599898e-10       2.518929539121e-13       5.824517981396e-14 
  333       4.548595092803e-10       2.494289159180e-13       5.743423255262e-14 
  334       4.503670805473e-10       2.469973410256e-13       5.663390738192e-14 
  335       4.458985952720e-10       2.445976972322e-13       5.584401846865e-14 
  336       4.414552807050e-10       2.422294205934e-13       5.506436946978e-14 
  337       4.370383698280e-10       2.398919149249e-13       5.429475343541e-14 
  338       4.326491013149e-10       2.375845515051e-13       5.353495271184e-14 
  339       4.282887194939e-10       2.353066687761e-13       5.278473884461e-14 
  340       4.239584743091e-10       2.330575720461e-13       5.204387248150e-14 
  341       4.196596212818e-10       2.308365331913e-13       5.131210327558e-14 
  342       4.153934214725e-10       2.286427903576e-13       5.058916978823e-14 
  343       4.111611414421e-10       2.264755476629e-13       4.987479939218e-14 
  344       4.069640532141e-10       2.243339748985e-13       4.916870817453e-14 
  345       4.028034342355e-10       2.222172072313e-13       4.847060083978e-14 
  346       3.986805673392e-10       2.201243449058e-13       4.778017061286e-14 
  347       3.945967407049e-10       2.180544529457e-13       4.709709914218e-14 
  348       3.905532478212e-10       2.160065608560e-13       4.642105640263e-14 
  349       3.865512844203e-10       2.139798410694e-13       4.575176429246e-14 
  350       3.825916346360e-10       2.119741530766e-13       4.508919053796e-14 
  351       3.786749717347e-10       2.099895213135e-13       4.443336265316e-14 
  352       3.748019598259e-10       2.080259583348e-13       4.378430493848e-14 
  353       3.709732537237e-10       2.060834646913e-13       4.314203844637e-14 
  354       3.671894988064e-10       2.041620288071e-13       4.250658094686e-14 
  355       3.634513308773e-10       2.022616268574e-13       4.187794689320e-14 
  356       3.597593760249e-10       2.003822226460e-13       4.125614738744e-14 
  357       3.561142504834e-10       1.985237674828e-13       4.064119014605e-14 
  358       3.525165604934e-10       1.966862000609e-13       4.003307946552e-14 
  359       3.489669021615e-10       1.948694463350e-13       3.943181618793e-14 
  360       3.454658613217e-10       1.930734193978e-13       3.883739766661e-14 
  361       3.420140133952e-10       1.912980193585e-13       3.824981773169e-14 
  362       3.386119232508e-10       1.895431332196e-13       3.766906665575e-14 
  363       3.352601450656e-10       1.878086347548e-13       3.709513111937e-14 
  364       3.319592221853e-10       1.860943843863e-13       3.652799417677e-14 
  365       3.287096869844e-10       1.844002290624e-13       3.596763522141e-14 
  366       3.255120607269e-10       1.827260021350e-13       3.541402995158e-14 
  367       3.223668534265e-10       1.810715232372e-13       3.486715033600e-14 
  368       3.192745637072e-10       1.794365981605e-13       3.432696457944e-14 
  369       3.162356786636e-10       1.778210187327e-13       3.379343708830e-14 
  370       3.132506737212e-10       1.762245626951e-13       3.326652843625e-14 
  371       3.103200124969e-10       1.746469935801e-13       3.274619532977e-14 
  372       3.074441466596e-10       1.730880605887e-13       3.223239057382e-14 
  373       3.046235157904e-10       1.715474984683e-13       3.172506303741e-14 
  374       3.018585472428e-10       1.700250273895e-13       3.122415761919e-14 
  375       2.991496560036e-10       1.685203528243e-13       3.072961521308e-14 
  376       2.964972445530e-10       1.670331654234e-13       3.024137267385e-14 
  377       2.939017027251e-10       1.655631408934e-13       2.975936278275e-14 
  378       2.913634075681e-10       1.641099398749e-13       2.928351421308e-14 
  379       2.888827232050e-10       1.626732078192e-13       2.881375149580e-14 
  380       2.864600006939e-10       1.612525748668e-13       2.834999498518e-14 
  381       2.840955778885e-10       1.598476557239e-13       2.789216082431e-14 
  382       2.817897792981e-10       1.584580495407e-13       2.744016091080e-14 
  383       2.795429159486e-10       1.570833397883e-13       2.699390286231e-14 
  384       2.773552852426e-10       1.557230941368e-13       2.655328998218e-14 
  385       2.752271708195e-10       1.543768643323e-13       2.611822122507e-14 
  386       2.731588424168e-10       1.530441860745e-13       2.568859116248e-14 
  387       2.711505557293e-10       1.517245788946e-13       2.526428994842e-14 
  388       2.692025175869e-10       1.504176319650e-13       2.484522199267e-14 
  389       2.673147803323e-10       1.491232653191e-13       2.443136282090e-14 
  390       2.654873432181e-10       1.478414781624e-13       2.402270427393e-14 
  391       2.637201865668e-10       1.465722637680e-13       2.361923597267e-14 
  392       2.620132716044e-10       1.453156094229e-13       2.322094529856e-14 
  393       2.603665402923e-10       1.440714963732e-13       2.282781737408e-14 
  394       2.587799151608e-10       1.428398997702e-13       2.243983504321e-14 
  395       2.572532991416e-10       1.416207886165e-13       2.205697885191e-14 
  396       2.557865754010e-10       1.404141257113e-13       2.167922702860e-14 
